Nome: NATAL
Codigo Estacao: A304
Latitude: -5.83722221
Longitude: -35.20805555
Altitude: 47.46
Situacao: Operante
Data Inicial: 2022-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2022-01-01;null;null;null;
2022-01-02;null;null;null;
2022-01-03;null;null;null;
2022-01-04;null;null;null;
2022-01-05;null;null;null;
2022-01-06;null;null;null;
2022-01-07;null;null;null;
2022-01-08;null;null;null;
2022-01-09;null;null;null;
2022-01-10;null;null;null;
2022-01-11;null;null;null;
2022-01-12;null;null;null;
2022-01-13;null;null;null;
2022-01-14;null;null;null;
2022-01-15;null;null;null;
2022-01-16;null;null;null;
2022-01-17;null;null;null;
2022-01-18;null;null;null;
2022-01-19;null;null;null;
2022-01-20;null;null;null;
2022-01-21;null;null;null;
2022-01-22;null;null;null;
2022-01-23;null;null;null;
2022-01-24;null;null;null;
2022-01-25;null;null;null;
2022-01-26;null;null;null;
2022-01-27;null;null;null;
2022-01-28;null;null;null;
2022-01-29;null;null;null;
2022-01-30;null;null;null;
2022-01-31;null;null;null;
2022-02-01;null;null;null;
2022-02-02;null;null;null;
2022-02-03;null;null;null;
2022-02-04;null;null;null;
2022-02-05;null;null;null;
2022-02-06;null;null;null;
2022-02-07;null;null;null;
2022-02-08;null;null;null;
2022-02-09;null;null;null;
2022-02-10;null;null;null;
2022-02-11;null;null;null;
2022-02-12;null;null;null;
2022-02-13;null;null;null;
2022-02-14;null;null;null;
2022-02-15;null;null;null;
2022-02-16;null;null;null;
2022-02-17;null;null;null;
2022-02-18;null;null;null;
2022-02-19;null;null;null;
2022-02-20;null;null;null;
2022-02-21;null;null;null;
2022-02-22;null;null;null;
2022-02-23;null;null;null;
2022-02-24;null;null;null;
2022-02-25;null;null;null;
2022-02-26;null;null;null;
2022-02-27;null;null;null;
2022-02-28;null;null;null;
2022-03-01;null;null;null;
2022-03-02;null;null;null;
2022-03-03;null;null;null;
2022-03-04;null;null;null;
2022-03-05;null;null;null;
2022-03-06;null;null;null;
2022-03-07;null;null;null;
2022-03-08;null;null;null;
2022-03-09;null;null;null;
2022-03-10;null;null;null;
2022-03-11;null;null;null;
2022-03-12;null;null;null;
2022-03-13;null;null;null;
2022-03-14;null;null;null;
2022-03-15;null;null;null;
2022-03-16;null;null;null;
2022-03-17;null;null;null;
2022-03-18;null;null;null;
2022-03-19;null;null;null;
2022-03-20;null;null;null;
2022-03-21;null;null;null;
2022-03-22;null;null;null;
2022-03-23;null;null;null;
2022-03-24;null;null;null;
2022-03-25;null;null;null;
